Age,Number of Dependents,Latitude,Longitude,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Churn Label
78,0,34.02381,-118.156582,68701,0,1,0.0,8,39.65,39.65,0.0,20,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
74,1,34.044271,-118.185237,55668,1,8,48.85,17,80.65,633.3,0.0,0,390.8,3,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
71,3,34.108833,-118.229715,47534,0,18,11.33,52,95.45,1752.55,45.61,0,203.94,2,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
78,1,33.936291,-118.332639,27778,1,25,19.76,12,98.5,2514.5,13.43,0,494.00000000000006,2,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1
80,1,33.972119,-118.020188,26265,1,37,6.33,14,76.5,2868.15,0.0,0,234.21,2,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
72,1,33.989524,-118.089299,63288,0,27,3.33,18,78.05,2135.5,0.0,10,89.91,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
76,2,33.79499,-118.065591,21343,1,1,15.28,30,70.45,70.45,0.0,0,15.28,2,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
66,0,34.168686,-118.057505,10558,6,58,0.0,24,45.3,2651.2,40.95,0,0.0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
70,2,34.139402,-118.128658,23742,0,15,44.07,19,74.45,1145.7,0.0,0,661.05,2,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
77,2,34.159007,-118.087353,32369,0,7,26.95,18,76.45,503.6,11.05,0,188.65,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1,34.207295,-118.400022,57146,0,11,11.59,29,95.0,1120.3,0.0,120,127.49,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
65,0,34.097345,-117.906736,33817,0,15,29.11,29,74.4,1074.3,0.0,0,436.65,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
77,0,34.074492,-118.01462,62660,1,1,0.0,12,40.2,40.2,0.0,0,0.0,2,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
67,0,34.038983,-117.991372,30802,0,3,0.0,28,41.15,132.2,0.0,0,0.0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
68,0,33.976753,-117.897367,46342,0,13,32.68,11,106.9,1364.3,0.0,10,424.84,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
