Age,Number of Dependents,Latitude,Longitude,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check
43,0,41.769709,-121.92063,816,0,16,5.79,4,55.3,875.35,0.0,0,92.64,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
62,2,37.721052,-122.413573,40137,0,12,16.96,18,105.3,1275.65,0.0,0,203.52,3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
32,0,37.939768,-120.188002,3979,0,1,49.19,17,49.0,49.0,0.0,0,49.19,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
24,0,33.923573,-118.200669,69850,8,58,26.99,53,68.4,3972.25,0.0,0,1565.4199999999998,3,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
49,3,33.964131,-118.272783,58198,2,3,19.18,22,80.0,241.3,0.0,0,57.54,3,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
29,1,33.829583,-116.474131,43141,0,1,0.0,48,24.7,24.7,0.0,70,0.0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,32.707892,-117.05512,66838,6,28,41.41,30,49.9,1410.25,0.0,0,1159.48,5,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,0,39.125311,-121.392283,5654,2,69,19.39,13,105.4,6998.95,0.0,0,1337.91,4,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0
64,0,33.897253,-117.792202,39458,0,35,20.39,21,55.25,1924.1,0.0,0,713.65,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
40,0,41.405193,-123.008567,2156,0,39,0.0,13,45.05,1790.6,0.0,0,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
56,3,32.697098,-117.116587,47431,8,13,28.15,56,61.8,750.1,0.0,0,365.95,3,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
62,0,32.853743,-117.25034,42617,0,28,0.0,2,35.75,961.4,0.0,0,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
