iter	F1	Logloss
0	0.8528500975	0.6161650537
1	0.857904497	0.5528286724
2	0.8617289612	0.5083939441
3	0.8659315148	0.472270212
4	0.8683108423	0.4500253541
5	0.8702307782	0.4286765348
6	0.8742724098	0.4088033069
7	0.8748839369	0.3910729611
8	0.8762037359	0.3785459338
9	0.8768713009	0.3665640627
10	0.878960195	0.356175448
11	0.8807808506	0.3487784101
12	0.8825995807	0.3410950772
13	0.8824900909	0.3362850423
14	0.8848937661	0.3297347266
15	0.8867593783	0.3228273501
16	0.8874575477	0.3165903387
17	0.8873008435	0.3126341744
18	0.8864915572	0.3081498481
19	0.8876378137	0.3062272385
20	0.8886283705	0.3024795052
21	0.8898016665	0.2999310247
22	0.8905846443	0.2970762268
23	0.8909261871	0.2936611485
24	0.8923366244	0.2908063742
25	0.8933819208	0.2879500196
26	0.8932015996	0.2857592926
27	0.8934368384	0.282949252
28	0.8941176471	0.2814729122
29	0.8955856386	0.2795122096
30	0.8959265364	0.2772331634
31	0.8962108731	0.2747214269
32	0.897517355	0.2721803933
33	0.8991646076	0.2703618828
34	0.8987997176	0.2685508196
35	0.9003880983	0.2670181673
36	0.9009644789	0.2655268337
37	0.9011532125	0.2636623814
38	0.9019561631	0.2624541298
39	0.9026318895	0.2604283824
40	0.9030431706	0.2587535767
41	0.9037281737	0.2570577612
42	0.9038348083	0.257004723
43	0.9044360547	0.2548225106
44	0.9048855322	0.2528883944
45	0.9051663128	0.2513116183
46	0.9065784812	0.2489550542
47	0.9071580439	0.2477341492
48	0.907394283	0.2465853497
49	0.9081668833	0.2441479425
50	0.9079305047	0.2427508976
51	0.9092413141	0.2408819201
52	0.9097140156	0.2398164465
53	0.909929078	0.2388075056
54	0.9107037256	0.2377139413
55	0.9111768185	0.2367465575
56	0.9111768185	0.235939143
57	0.9118447521	0.2349898365
58	0.9115662365	0.2347636478
59	0.9123845607	0.232980259
60	0.9127087528	0.2316740316
61	0.9134194007	0.2305045431
62	0.9138790036	0.2286507565
63	0.9140282225	0.2280131949
64	0.9145228216	0.2272447277
65	0.9152743216	0.2264782522
66	0.9153426607	0.2246999648
67	0.9148003318	0.2232702202
68	0.9153225806	0.2221021461
69	0.9159743651	0.2212054167
70	0.9172896642	0.2204111761
71	0.9167754957	0.2192019565
72	0.9171611678	0.2186034489
73	0.9179821958	0.217905523
74	0.9178342436	0.2168078708
75	0.9180717169	0.2157358961
76	0.9194965566	0.2147138584
77	0.9203749852	0.2137639639
78	0.9210119967	0.212570789
79	0.9210682493	0.2116118473
80	0.9218341649	0.2103917157
81	0.9226565285	0.2091342551
82	0.9229855004	0.2084015545
83	0.9231866825	0.2072369424
84	0.924137931	0.2057941875
85	0.9238276601	0.2045760546
86	0.9241576378	0.2035277934
87	0.924818301	0.2019091125
