iter	Passed	Remaining
0	187	56076
1	201	30053
2	212	21069
3	226	16755
4	239	14124
5	252	12360
6	264	11061
7	274	10036
8	287	9293
9	299	8683
10	312	8210
11	324	7785
12	336	7436
13	348	7124
14	358	6818
15	380	6755
16	391	6515
17	403	6322
18	416	6152
19	426	5974
20	437	5818
21	450	5694
22	462	5571
23	473	5442
24	485	5345
25	497	5246
26	508	5136
27	526	5118
28	538	5028
29	550	4953
30	563	4886
31	574	4809
32	586	4744
33	598	4684
34	610	4618
35	622	4564
36	635	4517
37	647	4465
38	660	4419
39	671	4364
40	683	4320
41	697	4282
42	699	4181
43	712	4147
44	723	4100
45	735	4061
46	747	4025
47	759	3985
48	769	3943
49	782	3911
50	796	3886
51	808	3853
52	821	3829
53	834	3799
54	846	3770
55	857	3738
56	869	3704
57	881	3678
58	885	3616
59	897	3589
60	911	3571
61	922	3540
62	933	3513
63	948	3495
64	959	3470
65	970	3440
66	982	3418
67	994	3393
68	1006	3370
69	1018	3346
70	1031	3325
71	1042	3302
72	1053	3275
73	1065	3253
74	1078	3235
75	1092	3218
76	1104	3199
77	1117	3180
78	1128	3157
79	1141	3138
80	1151	3114
81	1163	3094
82	1176	3076
83	1188	3057
84	1199	3033
85	1213	3018
86	1225	2999
87	1238	2984
88	1249	2961
89	1261	2942
90	1273	2924
91	1284	2904
92	1295	2883
93	1309	2870
94	1321	2851
95	1333	2834
96	1346	2817
97	1358	2800
98	1371	2784
99	1382	2765
100	1396	2752
101	1410	2738
102	1423	2723
103	1436	2707
104	1446	2687
105	1461	2674
106	1472	2656
107	1485	2641
108	1495	2620
109	1507	2604
110	1520	2588
111	1530	2569
112	1545	2557
113	1557	2541
114	1570	2525
115	1580	2507
116	1594	2493
117	1607	2478
118	1618	2462
119	1629	2444
120	1641	2428
121	1653	2412
122	1664	2394
123	1676	2379
124	1692	2369
125	1706	2356
126	1718	2341
127	1730	2324
128	1743	2310
129	1755	2295
130	1768	2280
131	1778	2264
132	1791	2249
133	1804	2235
134	1815	2219
135	1827	2204
136	1843	2193
137	1856	2179
138	1868	2164
139	1880	2148
140	1891	2132
141	1903	2118
142	1918	2106
143	1930	2091
144	1942	2076
145	1954	2061
146	1966	2046
147	1977	2030
148	1991	2018
149	2004	2004
150	2016	1989
151	2027	1973
152	2038	1958
153	2051	1945
154	2062	1929
155	2073	1913
156	2085	1899
157	2097	1885
158	2108	1869
159	2122	1856
160	2136	1844
161	2148	1830
162	2159	1814
163	2171	1800
164	2183	1786
165	2191	1768
166	2203	1754
167	2217	1742
168	2229	1728
169	2240	1713
170	2253	1699
171	2264	1685
172	2282	1675
173	2301	1666
174	2313	1652
175	2321	1635
176	2331	1620
177	2339	1603
178	2350	1588
179	2360	1573
180	2369	1557
181	2378	1542
182	2387	1526
183	2396	1510
184	2404	1494
185	2414	1480
186	2424	1464
187	2433	1449
188	2443	1434
189	2451	1419
190	2461	1404
191	2469	1389
192	2479	1374
193	2487	1359
194	2497	1344
195	2504	1329
196	2514	1314
197	2522	1299
198	2532	1285
199	2541	1270
200	2549	1255
201	2559	1241
202	2570	1228
203	2584	1216
204	2595	1202
205	2606	1189
206	2617	1176
207	2631	1163
208	2642	1150
209	2653	1137
210	2665	1124
211	2677	1111
212	2688	1098
213	2699	1084
214	2711	1071
215	2722	1058
216	2738	1047
217	2748	1034
218	2760	1021
219	2772	1008
220	2782	994
221	2794	981
222	2803	968
223	2811	954
224	2820	940
225	2829	926
226	2839	912
227	2847	899
228	2856	885
229	2866	872
230	2877	859
231	2886	846
232	2894	832
233	2903	819
234	2911	805
235	2920	792
236	2929	778
237	2938	765
238	2946	752
239	2956	739
240	2964	725
241	2974	712
242	2982	699
243	2992	686
244	3000	673
245	3008	660
246	3018	647
247	3029	635
248	3039	622
249	3047	609
250	3056	596
251	3065	583
252	3074	571
253	3083	558
254	3091	545
255	3100	532
256	3109	520
257	3118	507
258	3127	495
259	3136	482
260	3144	469
261	3154	457
262	3162	444
263	3173	432
264	3182	420
265	3190	407
266	3200	395
267	3208	383
268	3218	370
269	3226	358
270	3235	346
271	3243	333
272	3252	321
273	3260	309
274	3270	297
275	3278	285
276	3287	272
277	3295	260
278	3305	248
279	3313	236
280	3323	224
281	3333	212
282	3342	200
283	3351	188
284	3360	176
285	3372	165
286	3381	153
287	3389	141
288	3399	129
289	3407	117
290	3417	105
291	3425	93
292	3436	82
293	3445	70
294	3453	58
295	3462	46
296	3472	35
297	3482	23
298	3490	11
299	3499	0
